timestamp,cycle_id,commodity,contract,phase,agent,prompt_source,model_provider,model_name,assigned_provider,assigned_model,persona_hash,dspy_version,demo_count,tms_context_count,grounded_freshness_hours,reflexion_applied,prompt_tokens,completion_tokens,latency_ms
2026-03-16 14:10:39+00:00,NG-a9afc23a,NG,NGU26 (202608),research,agronomist,legacy,gemini,gemini-3.1-pro-preview,gemini,gemini-3.1-pro-preview,,,0,0,0.0,True,540,478,28773.504734039307
2026-03-16 14:10:43+00:00,NG-a9afc23a,NG,NGU26 (202608),research,geopolitical,legacy,gemini,gemini-3.1-pro-preview,gemini,gemini-3.1-pro-preview,,,0,0,0.0,True,515,351,33678.93433570862
2026-03-16 14:11:25+00:00,NG-a9afc23a,NG,NGU26 (202608),debate,permabear,legacy,anthropic,claude-sonnet-4-6,anthropic,claude-sonnet-4-6,2fd2d9277014,,0,0,0.0,False,5764,1703,41262.22467422485
2026-03-16 14:11:43+00:00,NG-a9afc23a,NG,NGU26 (202608),debate,permabull,legacy,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,907c5282bd94,,0,0,0.0,False,6458,1236,18582.940578460693
2026-03-16 14:11:59+00:00,NG-a9afc23a,NG,NGU26 (202608),decision,master,legacy,openai,gpt-5.2,openai,gpt-5.2,067e4f454c9a,,0,0,0.0,False,8445,794,16141.118049621582
2026-03-16 14:12:08+00:00,NG-a9afc23a,NG,NGU26 (202608),compliance,compliance,legacy,anthropic,claude-sonnet-4-6,anthropic,claude-sonnet-4-6,067e4f454c9a,,0,0,0.0,False,6563,317,8126.297473907471
2026-03-16 16:24:52+00:00,NG-18980d32,NG,NGM26 (202605),research,macro,commodity_profile,openai,gpt-5.2,openai,gpt-5.2,10e3575bf6be,,0,3,16,False,3235,624,10716.927766799927
2026-03-16 16:24:59+00:00,NG-18980d32,NG,NGM26 (202605),research,geopolitical,commodity_profile,gemini,gemini-3.1-pro-preview,gemini,gemini-3.1-pro-preview,5597c7fc858d,,0,3,16,False,2602,287,17489.227771759033
2026-03-16 16:25:00+00:00,NG-18980d32,NG,NGM26 (202605),research,agronomist,commodity_profile,gemini,gemini-3.1-pro-preview,gemini,gemini-3.1-pro-preview,6a062652d6d1,,0,3,16,False,3071,354,19626.227617263794
2026-03-16 16:25:10+00:00,NG-18980d32,NG,NGM26 (202605),research,macro,legacy,openai,gpt-5.2,openai,gpt-5.2,,,0,0,0.0,True,754,1152,17614.6080493927
